CHOYP_LOC100695151.2.2|m.30573
CHOYP_contig_039285|m.44499
K22E_HUMAN
CHOYP_STIP1.2.2|m.54723
CHOYP_LOC100366813.1.6|m.2829
CHOYP_LOC100373842.4.4|m.40731
CHOYP_LOC100114636.1.1|m.11052
CHOYP_BRAFLDRAFT_215361.1.1|m.55455
CHOYP_BRAFLDRAFT_268929.1.1|m.35239
CHOYP_AP1G1.1.1|m.13111
CHOYP_LOC100329078.1.3|m.26927
CHOYP_SNX2.1.1|m.25425
CHOYP_MYO6.1.1|m.4131
CHOYP_ISCW_ISCW012010.1.1|m.27251
CHOYP_SF3B1.1.3|m.24001
CHOYP_LOC100633077.4.4|m.62658
CHOYP_TNNI.3.3|m.56962
CHOYP_LOC101164482.1.1|m.44586
CHOYP_LOC100373864.1.2|m.16543
CHOYP_contig_039966|m.45203
CHOYP_BRAFLDRAFT_126943.1.3|m.6839
CHOYP_SMP_051990.7.7|m.57569
CHOYP_LOC100691144.1.1|m.47006
CHOYP_DPSE_GA15574.1.1|m.62967
CHOYP_COX5B.3.3|m.38557
CHOYP_BRAFLDRAFT_69005.1.1|m.26462
CHOYP_RCC1.1.1|m.15249
CHOYP_QARS.2.2|m.18038
CHOYP_BRAFLDRAFT_60329.1.1|m.18239
CHOYP_CBX1.1.4|m.5390
CHOYP_MYO7A.1.3|m.59205
CHOYP_GPMA.1.1|m.35689
CHOYP_NEMVEDRAFT_V1G173950.1.1|m.13512
CHOYP_LOC100368865.1.1|m.48101
CHOYP_CAH2.1.1|m.42306
CHOYP_LOC100370896.4.4|m.56380
CHOYP_LOC100881900.1.3|m.1852
CHOYP_ATP5C1.1.1|m.16222
CHOYP_LOC100199980.1.2|m.51259
CHOYP_BZW1.1.1|m.44089
CHOYP_LOC100710670.1.2|m.7245
CHOYP_BRAFLDRAFT_126856.2.3|m.30577
CHOYP_LOC100497129.7.8|m.41875
CHOYP_contig_048541|m.57541
CHOYP_EIF2A.1.1|m.12752
CHOYP_NRP.2.4|m.39720
CHOYP_LOC100710670.2.2|m.45011
CHOYP_BRAFLDRAFT_72748.1.1|m.27724
CHOYP_BRAFLDRAFT_125037.1.3|m.2939
CHOYP_TRIADDRAFT_63666.3.3|m.57696
CHOYP_NRG.1.1|m.10622
CHOYP_ISCW_ISCW019590.1.1|m.30707
CHOYP_LOC578003.1.1|m.64329
CHOYP_LOC100497129.3.8|m.32060
CHOYP_VWDE.8.13|m.38775
CHOYP_NFH.1.1|m.53607
CHOYP_GSLG1.3.3|m.66468
CHOYP_CBX1.3.4|m.27106
CHOYP_SEP11.1.2|m.19430
CHOYP_BRAFLDRAFT_275083.2.2|m.66604
CHOYP_LOC549476.1.1|m.42388
