PROTID	sample 27
CHOYP_BRAFLDRAFT_130097.1.1|m.12458	33
CHOYP_LOC100877311.1.1|m.25123	33
CHOYP_ISCW_ISCW021591.1.1|m.13970	33
CHOYP_SCP.8.12|m.57173	33
CHOYP_ERF1.1.1|m.37540	33
CHOYP_LOC101068378.3.3|m.29759	33
CHOYP_SC31A.1.2|m.8241	33
CHOYP_LOC100376457.1.2|m.11537	33
CHOYP_ATP5H.1.1|m.22927	33
CHOYP_LOC100372926.1.3|m.29881	32
CHOYP_TPP2.1.1|m.24017	32
CHOYP_AL1A1.1.1|m.24832	32
CHOYP_RS7.6.9|m.44704	32
CHOYP_LOC100708717.1.1|m.5825	32
CHOYP_RL10.1.3|m.11695	32
CHOYP_PCCA.2.2|m.45684	32
CHOYP_BRAFLDRAFT_103544.1.1|m.38439	32
CHOYP_PRKAB1B.2.3|m.31228	32
CHOYP_LOC100160412.2.2|m.56352	32
CHOYP_BRAFLDRAFT_98992.1.1|m.62815	32
CHOYP_PROM1.3.3|m.58805	32
CHOYP_LOC100552337.1.1|m.19614	32
CHOYP_HUWE1.1.2|m.566	32
CHOYP_PDHA1.1.1|m.42807	32
CHOYP_LOC100120123.1.1|m.12979	32
CHOYP_NACA.2.9|m.11875	32
CHOYP_LOC100370747.1.1|m.28315	32
CHOYP_LOC100114247.1.1|m.30717	32
CHOYP_MGC82409.1.1|m.44657	32
CHOYP_LOC100372693.1.1|m.16279	32
CHOYP_LOC100376863.1.1|m.65235	32
CHOYP_DUOX1.4.4|m.44613	32
CHOYP_EIF3I.1.1|m.56504	32
CHOYP_PSD7.1.1|m.19729	32
CHOYP_LOC100376688.1.8|m.12067	32
CHOYP_LOC100368259.1.1|m.39485	32
CHOYP_EPS-8.1.1|m.17522	32
CHOYP_contig_023710|m.26965	32
CHOYP_CALUB.2.2|m.58007	31
CHOYP_ENOPH.3.4|m.51956	31
CHOYP_INSI2.1.1|m.59456	31
CHOYP_PAN2.1.1|m.44690	31
CHOYP_TBA.1.6|m.12217	31
CHOYP_SYRC.1.2|m.36309	31
CHOYP_ISCW_ISCW023973.1.2|m.6506	31
CHOYP_FND2.1.4|m.8542	31
CHOYP_LOC100370246.2.2|m.45834	31
CHOYP_RHO1.3.3|m.44337	31
CHOYP_RENT1.1.1|m.44133	31
CHOYP_MYG1.1.1|m.4971	31
CHOYP_TMEM2.1.4|m.6314	31
CHOYP_LOC575405.1.1|m.18640	31
CHOYP_ATC1.1.1|m.5160	31
CHOYP_BRAFLDRAFT_74063.1.5|m.2740	31
CHOYP_NEMVEDRAFT_V1G188942.1.1|m.6629	31
CHOYP_LOC575893.1.1|m.62614	31
CHOYP_DYNLL2.2.2|m.37356	31
CHOYP_TTC38.1.1|m.27111	31
CHOYP_EIF3E.1.1|m.27167	31
CHOYP_NEMVEDRAFT_V1G206950.1.1|m.37574	31
CHOYP_MEGF6.8.59|m.7292	31
CHOYP_CATA.3.3|m.21642	31
CHOYP_BRAFLDRAFT_127065.6.7|m.30727	30
CHOYP_contig_041958|m.48141	30
